date,product_id,category,units_sold,unit_price,discount_pct,revenue,cogs,gross_margin,channel,country,returned
2023-05-25,P0001,Electronics,12,186.52,0.0,2238.24,1612.68,625.56,Email,United States,0
2023-05-26,P0001,Electronics,18,186.52,0.0,3357.36,2419.02,938.34,Direct,Canada,0
2023-05-27,P0001,Electronics,34,167.87,10.0,5707.51,4569.26,1138.25,Referral,United States,0
2023-05-28,P0001,Electronics,16,186.52,0.0,2984.32,2150.24,834.08,Paid Ads,United States,0
2023-05-29,P0001,Electronics,18,158.54,15.0,2853.76,2419.02,434.74,Organic Search,United Kingdom,0
2023-05-30,P0001,Electronics,21,186.52,0.0,3916.92,2822.19,1094.73,Organic Search,France,0
2023-05-31,P0001,Electronics,34,186.52,0.0,6341.68,4569.26,1772.42,Social Media,United Kingdom,0
2023-06-01,P0001,Electronics,19,186.52,0.0,3543.88,2553.41,990.47,Organic Search,United States,0
2023-06-02,P0001,Electronics,26,177.19,5.0,4607.04,3494.14,1112.9,Email,United States,0
2023-06-03,P0001,Electronics,19,186.52,0.0,3543.88,2553.41,990.47,Social Media,Canada,0
2023-06-04,P0001,Electronics,32,186.52,0.0,5968.64,4300.48,1668.16,Email,United States,0
2023-06-05,P0001,Electronics,6,186.52,0.0,1119.12,806.34,312.78,Direct,United Kingdom,0
2023-06-06,P0001,Electronics,33,186.52,0.0,6155.16,4434.87,1720.29,Paid Ads,United Kingdom,0
2023-06-07,P0001,Electronics,8,186.52,0.0,1492.16,1075.12,417.04,Paid Ads,Germany,0
2023-06-08,P0001,Electronics,20,177.19,5.0,3543.88,2687.8,856.08,Paid Ads,France,0
2023-06-09,P0001,Electronics,18,186.52,0.0,3357.36,2419.02,938.34,Paid Ads,Canada,0
2023-06-10,P0001,Electronics,47,186.52,0.0,8766.44,6316.33,2450.11,Referral,Canada,0
2023-06-11,P0001,Electronics,16,186.52,0.0,2984.32,2150.24,834.08,Email,United States,0
2023-06-12,P0001,Electronics,11,186.52,0.0,2051.72,1478.29,573.43,Organic Search,United States,1
2023-06-13,P0001,Electronics,13,186.52,0.0,2424.76,1747.07,677.69,Paid Ads,United States,0
2023-06-14,P0001,Electronics,28,186.52,0.0,5222.56,3762.92,1459.64,Paid Ads,United Kingdom,0
2023-06-15,P0001,Electronics,17,186.52,0.0,3170.84,2284.63,886.21,Organic Search,France,0
2023-06-16,P0001,Electronics,21,186.52,0.0,3916.92,2822.19,1094.73,Organic Search,United States,0
2023-06-17,P0001,Electronics,50,186.52,0.0,9326.0,6719.5,2606.5,Paid Ads,United States,0
2023-06-18,P0001,Electronics,33,186.52,0.0,6155.16,4434.87,1720.29,Organic Search,Australia,0
2023-06-19,P0001,Electronics,15,186.52,0.0,2797.8,2015.85,781.95,Paid Ads,United Kingdom,0
2023-06-20,P0001,Electronics,14,186.52,0.0,2611.28,1881.46,729.82,Referral,Germany,0
2023-06-21,P0001,Electronics,16,186.52,0.0,2984.32,2150.24,834.08,Paid Ads,United States,0
2023-06-22,P0001,Electronics,10,186.52,0.0,1865.2,1343.9,521.3,Paid Ads,United States,0
2023-06-23,P0001,Electronics,14,186.52,0.0,2611.28,1881.46,729.82,Organic Search,Australia,0
2023-06-24,P0001,Electronics,52,186.52,0.0,9699.04,6988.28,2710.76,Paid Ads,United Kingdom,0
2023-06-25,P0001,Electronics,15,186.52,0.0,2797.8,2015.85,781.95,Direct,Australia,0
2023-06-26,P0001,Electronics,26,186.52,0.0,4849.52,3494.14,1355.38,Email,United Kingdom,0
2023-06-27,P0001,Electronics,23,186.52,0.0,4289.96,3090.97,1198.99,Direct,Germany,1
2023-06-28,P0001,Electronics,17,186.52,0.0,3170.84,2284.63,886.21,Email,United States,0
2023-06-29,P0001,Electronics,20,186.52,0.0,3730.4,2687.8,1042.6,Paid Ads,United States,0
2023-06-30,P0001,Electronics,20,186.52,0.0,3730.4,2687.8,1042.6,Organic Search,United Kingdom,0
2023-07-01,P0001,Electronics,19,186.52,0.0,3543.88,2553.41,990.47,Organic Search,Canada,0
2023-07-02,P0001,Electronics,18,186.52,0.0,3357.36,2419.02,938.34,Direct,United States,0
2023-07-03,P0001,Electronics,21,186.52,0.0,3916.92,2822.19,1094.73,Organic Search,United States,0
2023-07-04,P0001,Electronics,20,186.52,0.0,3730.4,2687.8,1042.6,Email,United States,0
2023-07-05,P0001,Electronics,14,186.52,0.0,2611.28,1881.46,729.82,Referral,Canada,0
2023-07-06,P0001,Electronics,35,186.52,0.0,6528.2,4703.65,1824.55,Paid Ads,United States,0
2023-07-07,P0001,Electronics,18,186.52,0.0,3357.36,2419.02,938.34,Paid Ads,United States,0
2023-07-08,P0001,Electronics,12,167.87,10.0,2014.42,1612.68,401.74,Organic Search,United States,0
2023-07-09,P0001,Electronics,25,186.52,0.0,4663.0,3359.75,1303.25,Organic Search,Canada,0
2023-07-10,P0001,Electronics,16,186.52,0.0,2984.32,2150.24,834.08,Paid Ads,Canada,0
2023-07-11,P0001,Electronics,35,186.52,0.0,6528.2,4703.65,1824.55,Social Media,Canada,0
2023-07-12,P0001,Electronics,52,186.52,0.0,9699.04,6988.28,2710.76,Organic Search,United States,0
2023-07-13,P0001,Electronics,9,186.52,0.0,1678.68,1209.51,469.17,Paid Ads,United States,0
2023-07-14,P0001,Electronics,23,186.52,0.0,4289.96,3090.97,1198.99,Organic Search,United States,1
2023-07-15,P0001,Electronics,17,186.52,0.0,3170.84,2284.63,886.21,Email,United States,0
2023-07-16,P0001,Electronics,15,186.52,0.0,2797.8,2015.85,781.95,Paid Ads,United Kingdom,0
2023-07-17,P0001,Electronics,16,186.52,0.0,2984.32,2150.24,834.08,Organic Search,United States,0
2023-07-18,P0001,Electronics,22,186.52,0.0,4103.44,2956.58,1146.86,Email,Canada,0
2023-07-19,P0001,Electronics,18,186.52,0.0,3357.36,2419.02,938.34,Email,Canada,0
2023-07-20,P0001,Electronics,20,167.87,10.0,3357.36,2687.8,669.56,Email,Canada,0
2023-07-21,P0001,Electronics,13,177.19,5.0,2303.52,1747.07,556.45,Paid Ads,United States,0
2023-07-22,P0001,Electronics,12,186.52,0.0,2238.24,1612.68,625.56,Email,Australia,0
2023-07-23,P0001,Electronics,17,186.52,0.0,3170.84,2284.63,886.21,Organic Search,United Kingdom,0
2023-07-24,P0001,Electronics,19,186.52,0.0,3543.88,2553.41,990.47,Direct,Canada,0
2023-07-25,P0001,Electronics,14,186.52,0.0,2611.28,1881.46,729.82,Social Media,United States,0
2023-07-26,P0001,Electronics,32,186.52,0.0,5968.64,4300.48,1668.16,Email,United Kingdom,0
2023-07-27,P0001,Electronics,21,167.87,10.0,3525.23,2822.19,703.04,Paid Ads,United Kingdom,0
2023-07-28,P0001,Electronics,10,186.52,0.0,1865.2,1343.9,521.3,Email,Germany,0
2023-07-29,P0001,Electronics,29,167.87,10.0,4868.17,3897.31,970.86,Organic Search,United Kingdom,0
2023-07-30,P0001,Electronics,16,158.54,15.0,2536.67,2150.24,386.43,Email,United States,1
2023-07-31,P0001,Electronics,67,186.52,0.0,12496.84,9004.13,3492.71,Paid Ads,Germany,0
2023-08-01,P0001,Electronics,27,186.52,0.0,5036.04,3628.53,1407.51,Paid Ads,Netherlands,0
2023-08-02,P0001,Electronics,63,186.52,0.0,11750.76,8466.57,3284.19,Paid Ads,United States,0
2023-08-03,P0001,Electronics,52,186.52,0.0,9699.04,6988.28,2710.76,Paid Ads,United States,0
2023-08-04,P0001,Electronics,33,186.52,0.0,6155.16,4434.87,1720.29,Organic Search,United Kingdom,0
2023-08-05,P0001,Electronics,26,186.52,0.0,4849.52,3494.14,1355.38,Direct,United States,0
2023-08-06,P0001,Electronics,39,186.52,0.0,7274.28,5241.21,2033.07,Organic Search,Australia,0
2023-08-07,P0001,Electronics,42,186.52,0.0,7833.84,5644.38,2189.46,Paid Ads,United States,0
2023-08-08,P0001,Electronics,29,186.52,0.0,5409.08,3897.31,1511.77,Paid Ads,France,0
2023-08-09,P0001,Electronics,20,186.52,0.0,3730.4,2687.8,1042.6,Organic Search,France,0
2023-08-10,P0001,Electronics,54,186.52,0.0,10072.08,7257.06,2815.02,Organic Search,United States,0
2023-08-11,P0001,Electronics,50,186.52,0.0,9326.0,6719.5,2606.5,Organic Search,United Kingdom,0
2023-08-12,P0001,Electronics,27,186.52,0.0,5036.04,3628.53,1407.51,Organic Search,United States,0
2023-08-13,P0001,Electronics,29,186.52,0.0,5409.08,3897.31,1511.77,Social Media,United Kingdom,0
2023-08-14,P0001,Electronics,78,186.52,0.0,14548.56,10482.42,4066.14,Organic Search,United States,0
2023-08-15,P0001,Electronics,45,158.54,15.0,7134.39,6047.55,1086.84,Organic Search,United States,0
2023-08-16,P0001,Electronics,34,158.54,15.0,5390.43,4569.26,821.17,Organic Search,United States,0
2023-08-17,P0001,Electronics,36,186.52,0.0,6714.72,4838.04,1876.68,Paid Ads,United States,0
2023-08-18,P0001,Electronics,40,186.52,0.0,7460.8,5375.6,2085.2,Organic Search,United States,0
2023-08-19,P0001,Electronics,23,186.52,0.0,4289.96,3090.97,1198.99,Referral,United States,0
2023-08-20,P0001,Electronics,44,186.52,0.0,8206.88,5913.16,2293.72,Social Media,United States,0
2023-08-21,P0001,Electronics,33,186.52,0.0,6155.16,4434.87,1720.29,Social Media,United Kingdom,1
2023-08-22,P0001,Electronics,76,186.52,0.0,14175.52,10213.64,3961.88,Email,United Kingdom,0
2023-08-23,P0001,Electronics,22,186.52,0.0,4103.44,2956.58,1146.86,Organic Search,United Kingdom,0
2023-08-24,P0001,Electronics,65,177.19,5.0,11517.61,8735.35,2782.26,Social Media,Netherlands,0
2023-08-25,P0001,Electronics,30,167.87,10.0,5036.04,4031.7,1004.34,Paid Ads,United States,0
2023-08-26,P0001,Electronics,27,186.52,0.0,5036.04,3628.53,1407.51,Social Media,Australia,0
2023-08-27,P0001,Electronics,32,186.52,0.0,5968.64,4300.48,1668.16,Organic Search,United States,0
2023-08-28,P0001,Electronics,36,186.52,0.0,6714.72,4838.04,1876.68,Email,United States,0
2023-08-29,P0001,Electronics,26,186.52,0.0,4849.52,3494.14,1355.38,Organic Search,United Kingdom,0
2023-08-30,P0001,Electronics,20,186.52,0.0,3730.4,2687.8,1042.6,Paid Ads,United States,0
2023-08-31,P0001,Electronics,12,167.87,10.0,2014.42,1612.68,401.74,Organic Search,United States,0
2023-09-01,P0001,Electronics,79,186.52,0.0,14735.08,10616.81,4118.27,Paid Ads,United States,0
2023-09-02,P0001,Electronics,44,186.52,0.0,8206.88,5913.16,2293.72,Social Media,United States,0
2023-09-03,P0001,Electronics,47,158.54,15.0,7451.47,6316.33,1135.14,Organic Search,France,0
2023-09-04,P0001,Electronics,29,177.19,5.0,5138.63,3897.31,1241.32,Email,United Kingdom,0
2023-09-05,P0001,Electronics,39,186.52,0.0,7274.28,5241.21,2033.07,Paid Ads,United Kingdom,0
2023-09-06,P0001,Electronics,23,186.52,0.0,4289.96,3090.97,1198.99,Social Media,United Kingdom,0
2023-09-07,P0001,Electronics,59,186.52,0.0,11004.68,7929.01,3075.67,Social Media,United States,0
2023-09-08,P0001,Electronics,25,186.52,0.0,4663.0,3359.75,1303.25,Paid Ads,United States,0
2023-09-09,P0001,Electronics,39,186.52,0.0,7274.28,5241.21,2033.07,Paid Ads,United States,1
2023-09-10,P0001,Electronics,35,186.52,0.0,6528.2,4703.65,1824.55,Social Media,United Kingdom,0
2023-09-11,P0001,Electronics,78,186.52,0.0,14548.56,10482.42,4066.14,Direct,Canada,0
2023-09-12,P0001,Electronics,22,186.52,0.0,4103.44,2956.58,1146.86,Social Media,United Kingdom,0
2023-09-13,P0001,Electronics,20,186.52,0.0,3730.4,2687.8,1042.6,Organic Search,United States,0
2023-09-14,P0001,Electronics,39,186.52,0.0,7274.28,5241.21,2033.07,Paid Ads,United States,0
2023-09-15,P0001,Electronics,27,186.52,0.0,5036.04,3628.53,1407.51,Organic Search,United Kingdom,0
2023-09-16,P0001,Electronics,25,186.52,0.0,4663.0,3359.75,1303.25,Organic Search,United Kingdom,0
2023-09-17,P0001,Electronics,34,186.52,0.0,6341.68,4569.26,1772.42,Paid Ads,Canada,1
2023-09-18,P0001,Electronics,48,186.52,0.0,8952.96,6450.72,2502.24,Paid Ads,Germany,0
2023-09-19,P0001,Electronics,26,186.52,0.0,4849.52,3494.14,1355.38,Email,United Kingdom,0
2023-09-20,P0001,Electronics,18,186.52,0.0,3357.36,2419.02,938.34,Paid Ads,Australia,0
2023-09-21,P0001,Electronics,19,177.19,5.0,3366.69,2553.41,813.28,Organic Search,United Kingdom,0
2023-09-22,P0001,Electronics,29,186.52,0.0,5409.08,3897.31,1511.77,Organic Search,United States,0
2023-09-23,P0001,Electronics,17,186.52,0.0,3170.84,2284.63,886.21,Paid Ads,United States,0
2023-09-24,P0001,Electronics,54,186.52,0.0,10072.08,7257.06,2815.02,Paid Ads,United States,0
2023-09-25,P0001,Electronics,42,158.54,15.0,6658.76,5644.38,1014.38,Direct,United States,0
2023-09-26,P0001,Electronics,33,186.52,0.0,6155.16,4434.87,1720.29,Paid Ads,United Kingdom,0
2023-09-27,P0001,Electronics,43,186.52,0.0,8020.36,5778.77,2241.59,Organic Search,Australia,0
2023-09-28,P0001,Electronics,20,186.52,0.0,3730.4,2687.8,1042.6,Organic Search,France,0
2023-09-29,P0001,Electronics,22,186.52,0.0,4103.44,2956.58,1146.86,Paid Ads,United States,0
2023-09-30,P0001,Electronics,45,186.52,0.0,8393.4,6047.55,2345.85,Referral,Australia,0
2023-10-01,P0001,Electronics,29,186.52,0.0,5409.08,3897.31,1511.77,Organic Search,Australia,0
2023-10-02,P0001,Electronics,37,186.52,0.0,6901.24,4972.43,1928.81,Organic Search,United States,0
2023-10-03,P0001,Electronics,37,186.52,0.0,6901.24,4972.43,1928.81,Paid Ads,Netherlands,0
2023-10-04,P0001,Electronics,27,186.52,0.0,5036.04,3628.53,1407.51,Direct,United States,0
2023-10-05,P0001,Electronics,32,186.52,0.0,5968.64,4300.48,1668.16,Organic Search,United States,0
2023-10-06,P0001,Electronics,25,167.87,10.0,4196.7,3359.75,836.95,Paid Ads,United States,0
2023-10-07,P0001,Electronics,19,186.52,0.0,3543.88,2553.41,990.47,Organic Search,United Kingdom,0
2023-10-08,P0001,Electronics,25,186.52,0.0,4663.0,3359.75,1303.25,Organic Search,United States,0
2023-10-09,P0001,Electronics,38,186.52,0.0,7087.76,5106.82,1980.94,Paid Ads,United Kingdom,0
2023-10-10,P0001,Electronics,28,186.52,0.0,5222.56,3762.92,1459.64,Email,United States,0
2023-10-11,P0001,Electronics,16,186.52,0.0,2984.32,2150.24,834.08,Organic Search,Australia,0
2023-10-12,P0001,Electronics,37,186.52,0.0,6901.24,4972.43,1928.81,Email,United States,0
2023-10-13,P0001,Electronics,20,186.52,0.0,3730.4,2687.8,1042.6,Organic Search,United Kingdom,0
2023-10-14,P0001,Electronics,42,186.52,0.0,7833.84,5644.38,2189.46,Email,United States,0
2023-10-15,P0001,Electronics,38,186.52,0.0,7087.76,5106.82,1980.94,Organic Search,United States,0
2023-10-16,P0001,Electronics,23,186.52,0.0,4289.96,3090.97,1198.99,Social Media,United Kingdom,0
2023-10-17,P0001,Electronics,25,186.52,0.0,4663.0,3359.75,1303.25,Email,United States,0
2023-10-18,P0001,Electronics,18,177.19,5.0,3189.49,2419.02,770.47,Organic Search,United Kingdom,0
2023-10-19,P0001,Electronics,36,186.52,0.0,6714.72,4838.04,1876.68,Organic Search,United States,0
2023-10-20,P0001,Electronics,47,186.52,0.0,8766.44,6316.33,2450.11,Paid Ads,United States,0
2023-10-21,P0001,Electronics,21,186.52,0.0,3916.92,2822.19,1094.73,Direct,France,0
2023-10-22,P0001,Electronics,47,186.52,0.0,8766.44,6316.33,2450.11,Organic Search,Australia,1
2023-10-23,P0001,Electronics,19,186.52,0.0,3543.88,2553.41,990.47,Paid Ads,United Kingdom,0
2023-10-24,P0001,Electronics,33,186.52,0.0,6155.16,4434.87,1720.29,Organic Search,United States,0
2023-10-25,P0001,Electronics,41,186.52,0.0,7647.32,5509.99,2137.33,Paid Ads,Canada,0
2023-10-26,P0001,Electronics,32,158.54,15.0,5073.34,4300.48,772.86,Organic Search,France,0
2023-10-27,P0001,Electronics,24,186.52,0.0,4476.48,3225.36,1251.12,Organic Search,United States,0
2023-10-28,P0001,Electronics,19,186.52,0.0,3543.88,2553.41,990.47,Organic Search,United Kingdom,0
2023-10-29,P0001,Electronics,37,186.52,0.0,6901.24,4972.43,1928.81,Organic Search,United States,0
2023-10-30,P0001,Electronics,44,186.52,0.0,8206.88,5913.16,2293.72,Paid Ads,United States,0
2023-10-31,P0001,Electronics,22,186.52,0.0,4103.44,2956.58,1146.86,Social Media,United Kingdom,0
2023-11-01,P0001,Electronics,31,186.52,0.0,5782.12,4166.09,1616.03,Email,United Kingdom,0
2023-11-02,P0001,Electronics,59,186.52,0.0,11004.68,7929.01,3075.67,Email,United States,0
2023-11-03,P0001,Electronics,27,186.52,0.0,5036.04,3628.53,1407.51,Email,France,0
2023-11-04,P0001,Electronics,18,186.52,0.0,3357.36,2419.02,938.34,Organic Search,Germany,0
2023-11-05,P0001,Electronics,57,186.52,0.0,10631.64,7660.23,2971.41,Social Media,Germany,0
2023-11-06,P0001,Electronics,32,186.52,0.0,5968.64,4300.48,1668.16,Paid Ads,Australia,0
2023-11-07,P0001,Electronics,53,186.52,0.0,9885.56,7122.67,2762.89,Paid Ads,Netherlands,0
2023-11-08,P0001,Electronics,65,167.87,10.0,10911.42,8735.35,2176.07,Organic Search,Canada,0
2023-11-09,P0001,Electronics,40,186.52,0.0,7460.8,5375.6,2085.2,Paid Ads,United States,0
2023-11-10,P0001,Electronics,51,186.52,0.0,9512.52,6853.89,2658.63,Email,United States,0
2023-11-11,P0001,Electronics,43,186.52,0.0,8020.36,5778.77,2241.59,Paid Ads,United States,0
2023-11-12,P0001,Electronics,29,186.52,0.0,5409.08,3897.31,1511.77,Email,Germany,0
2023-11-13,P0001,Electronics,45,186.52,0.0,8393.4,6047.55,2345.85,Organic Search,Canada,0
2023-11-14,P0001,Electronics,38,186.52,0.0,7087.76,5106.82,1980.94,Email,United States,0
2023-11-15,P0001,Electronics,66,186.52,0.0,12310.32,8869.74,3440.58,Social Media,United States,0
2023-11-16,P0001,Electronics,42,186.52,0.0,7833.84,5644.38,2189.46,Email,Canada,0
2023-11-17,P0001,Electronics,45,186.52,0.0,8393.4,6047.55,2345.85,Paid Ads,United Kingdom,0
2023-11-18,P0001,Electronics,10,186.52,0.0,1865.2,1343.9,521.3,Organic Search,United Kingdom,1
2023-11-19,P0001,Electronics,35,186.52,0.0,6528.2,4703.65,1824.55,Paid Ads,Germany,0
2023-11-20,P0001,Electronics,35,186.52,0.0,6528.2,4703.65,1824.55,Organic Search,United States,0
2023-11-21,P0001,Electronics,41,186.52,0.0,7647.32,5509.99,2137.33,Email,United States,0
2023-11-22,P0001,Electronics,31,186.52,0.0,5782.12,4166.09,1616.03,Organic Search,Canada,0
2023-11-23,P0001,Electronics,42,186.52,0.0,7833.84,5644.38,2189.46,Organic Search,Canada,0
2023-11-24,P0001,Electronics,177,130.56,30.0,23109.83,23787.03,-677.2,Organic Search,United Kingdom,0
2023-11-25,P0001,Electronics,69,111.91,40.0,7721.93,9272.91,-1550.98,Paid Ads,United States,0
2023-11-26,P0001,Electronics,220,130.56,30.0,28724.08,29565.8,-841.72,Social Media,United States,0
2023-11-27,P0001,Electronics,63,149.22,20.0,9400.61,8466.57,934.04,Referral,United States,0
2023-11-28,P0001,Electronics,120,139.89,25.0,16786.8,16126.8,660.0,Social Media,United States,0
2023-11-29,P0001,Electronics,119,139.89,25.0,16646.91,15992.41,654.5,Social Media,United States,0
2023-11-30,P0001,Electronics,99,111.91,40.0,11079.29,13304.61,-2225.32,Organic Search,Australia,0
2023-12-01,P0001,Electronics,39,158.54,15.0,6183.14,5241.21,941.93,Direct,Germany,0
2023-12-02,P0001,Electronics,59,177.19,5.0,10454.45,7929.01,2525.44,Organic Search,United Kingdom,0
2023-12-03,P0001,Electronics,82,186.52,0.0,15294.64,11019.98,4274.66,Organic Search,United States,0
2023-12-04,P0001,Electronics,99,186.52,0.0,18465.48,13304.61,5160.87,Organic Search,Germany,0
2023-12-05,P0001,Electronics,88,186.52,0.0,16413.76,11826.32,4587.44,Social Media,United States,0
2023-12-06,P0001,Electronics,44,167.87,10.0,7386.19,5913.16,1473.03,Direct,United States,0
2023-12-07,P0001,Electronics,30,186.52,0.0,5595.6,4031.7,1563.9,Organic Search,United Kingdom,0
2023-12-08,P0001,Electronics,40,186.52,0.0,7460.8,5375.6,2085.2,Direct,United States,0
2023-12-09,P0001,Electronics,87,186.52,0.0,16227.24,11691.93,4535.31,Organic Search,United Kingdom,0
2023-12-10,P0001,Electronics,42,186.52,0.0,7833.84,5644.38,2189.46,Paid Ads,Netherlands,0
2023-12-11,P0001,Electronics,36,186.52,0.0,6714.72,4838.04,1876.68,Organic Search,United States,0
2023-12-12,P0001,Electronics,44,186.52,0.0,8206.88,5913.16,2293.72,Paid Ads,United States,0
2023-12-13,P0001,Electronics,44,186.52,0.0,8206.88,5913.16,2293.72,Paid Ads,United States,0
2023-12-14,P0001,Electronics,53,186.52,0.0,9885.56,7122.67,2762.89,Organic Search,France,0
2023-12-15,P0001,Electronics,42,186.52,0.0,7833.84,5644.38,2189.46,Email,United Kingdom,0
2023-12-16,P0001,Electronics,112,186.52,0.0,20890.24,15051.68,5838.56,Social Media,United States,0
2023-12-17,P0001,Electronics,39,186.52,0.0,7274.28,5241.21,2033.07,Organic Search,United States,0
2023-12-18,P0001,Electronics,64,186.52,0.0,11937.28,8600.96,3336.32,Organic Search,Germany,0
2023-12-19,P0001,Electronics,43,186.52,0.0,8020.36,5778.77,2241.59,Referral,Canada,1
2023-12-20,P0001,Electronics,61,167.87,10.0,10239.95,8197.79,2042.16,Paid Ads,United States,0
2023-12-21,P0001,Electronics,40,186.52,0.0,7460.8,5375.6,2085.2,Paid Ads,United States,0
2023-12-22,P0001,Electronics,81,186.52,0.0,15108.12,10885.59,4222.53,Organic Search,United States,0
2023-12-23,P0001,Electronics,36,186.52,0.0,6714.72,4838.04,1876.68,Email,United States,0
2023-12-24,P0001,Electronics,73,186.52,0.0,13615.96,9810.47,3805.49,Paid Ads,United Kingdom,0
2023-12-25,P0001,Electronics,27,186.52,0.0,5036.04,3628.53,1407.51,Organic Search,United States,0
2023-12-26,P0001,Electronics,84,177.19,5.0,14884.3,11288.76,3595.54,Email,Australia,0
2023-12-27,P0001,Electronics,35,186.52,0.0,6528.2,4703.65,1824.55,Paid Ads,United States,0
2023-12-28,P0001,Electronics,79,186.52,0.0,14735.08,10616.81,4118.27,Referral,Netherlands,0
2023-12-29,P0001,Electronics,59,177.19,5.0,10454.45,7929.01,2525.44,Social Media,United States,0
2023-12-30,P0001,Electronics,37,186.52,0.0,6901.24,4972.43,1928.81,Paid Ads,United States,0
2023-12-31,P0001,Electronics,56,186.52,0.0,10445.12,7525.84,2919.28,Direct,United Kingdom,0
2024-01-01,P0001,Electronics,21,186.52,0.0,3916.92,2822.19,1094.73,Direct,United Kingdom,0
2024-01-02,P0001,Electronics,27,186.52,0.0,5036.04,3628.53,1407.51,Direct,Canada,0
2024-01-03,P0001,Electronics,24,186.52,0.0,4476.48,3225.36,1251.12,Paid Ads,Canada,0
2024-01-04,P0001,Electronics,25,186.52,0.0,4663.0,3359.75,1303.25,Organic Search,Canada,0
2024-01-05,P0001,Electronics,33,186.52,0.0,6155.16,4434.87,1720.29,Organic Search,United States,0
2024-01-06,P0001,Electronics,30,177.19,5.0,5315.82,4031.7,1284.12,Organic Search,United Kingdom,0
